entidad,proyecto,count
Contraloría General de la República,Planta Desaladora,0
Contraloría General de la República,Químicos,0
Contraloría General de la República,Residencial,0
Contraloría General de la República,Transmisión,0
Contraloría General de la República,Vialidad,1
Consejo de Monumentos Nacionales (CMN),Acuícola,5
Consejo de Monumentos Nacionales (CMN),Agroindustria,7
Consejo de Monumentos Nacionales (CMN),Aguas servidas,7
Consejo de Monumentos Nacionales (CMN),Celulosa,7
Consejo de Monumentos Nacionales (CMN),ERNC,5
Consejo de Monumentos Nacionales (CMN),Gran Minería,5
Consejo de Monumentos Nacionales (CMN),Hidro,5
Consejo de Monumentos Nacionales (CMN),Hospitales,8
Consejo de Monumentos Nacionales (CMN),Metro,8
Consejo de Monumentos Nacionales (CMN),Planta Desaladora,5
Consejo de Monumentos Nacionales (CMN),Químicos,8
Consejo de Monumentos Nacionales (CMN),Residencial,7
Consejo de Monumentos Nacionales (CMN),Transmisión,6
Consejo de Monumentos Nacionales (CMN),Vialidad,7
Comisión Nacional de Energía (CNE),Acuícola,1
Comisión Nacional de Energía (CNE),Agroindustria,0
Comisión Nacional de Energía (CNE),Aguas servidas,1
Comisión Nacional de Energía (CNE),Celulosa,1
Comisión Nacional de Energía (CNE),ERNC,3
Comisión Nacional de Energía (CNE),Gran Minería,1
Comisión Nacional de Energía (CNE),Hidro,3
Comisión Nacional de Energía (CNE),Hospitales,0
Comisión Nacional de Energía (CNE),Metro,0
Comisión Nacional de Energía (CNE),Planta Desaladora,1
Comisión Nacional de Energía (CNE),Químicos,1
Comisión Nacional de Energía (CNE),Residencial,0
Comisión Nacional de Energía (CNE),Transmisión,3
Comisión Nacional de Energía (CNE),Vialidad,0
Corporación Nacional de Desarrollo Indígena (CONADI),Acuícola,3
Corporación Nacional de Desarrollo Indígena (CONADI),Agroindustria,4
Corporación Nacional de Desarrollo Indígena (CONADI),Aguas servidas,2
Corporación Nacional de Desarrollo Indígena (CONADI),Celulosa,3
Corporación Nacional de Desarrollo Indígena (CONADI),ERNC,4
Corporación Nacional de Desarrollo Indígena (CONADI),Gran Minería,4
Corporación Nacional de Desarrollo Indígena (CONADI),Hidro,4
Corporación Nacional de Desarrollo Indígena (CONADI),Hospitales,0
Corporación Nacional de Desarrollo Indígena (CONADI),Metro,0
Corporación Nacional de Desarrollo Indígena (CONADI),Planta Desaladora,2
Corporación Nacional de Desarrollo Indígena (CONADI),Químicos,0
Corporación Nacional de Desarrollo Indígena (CONADI),Residencial,0
Corporación Nacional de Desarrollo Indígena (CONADI),Transmisión,4
Corporación Nacional de Desarrollo Indígena (CONADI),Vialidad,4
Corporación Nacional Forestal (CONAF),Acuícola,12
Corporación Nacional Forestal (CONAF),Agroindustria,10
Corporación Nacional Forestal (CONAF),Aguas servidas,14
Corporación Nacional Forestal (CONAF),Celulosa,13
Corporación Nacional Forestal (CONAF),ERNC,15
Corporación Nacional Forestal (CONAF),Gran Minería,14
Corporación Nacional Forestal (CONAF),Hidro,13
Corporación Nacional Forestal (CONAF),Hospitales,0
Corporación Nacional Forestal (CONAF),Metro,0
Corporación Nacional Forestal (CONAF),Planta Desaladora,0
Corporación Nacional Forestal (CONAF),Químicos,0
Corporación Nacional Forestal (CONAF),Residencial,0
Corporación Nacional Forestal (CONAF),Transmisión,11
Corporación Nacional Forestal (CONAF),Vialidad,14
Dirección General de Aguas (DGA),Acuícola,6
Dirección General de Aguas (DGA),Agroindustria,4
Dirección General de Aguas (DGA),Aguas servidas,5
Dirección General de Aguas (DGA),Celulosa,6
Dirección General de Aguas (DGA),ERNC,9
Dirección General de Aguas (DGA),Gran Minería,15
Dirección General de Aguas (DGA),Hidro,11
Dirección General de Aguas (DGA),Hospitales,2
Dirección General de Aguas (DGA),Metro,2
Dirección General de Aguas (DGA),Planta Desaladora,2
Dirección General de Aguas (DGA),Químicos,5
Dirección General de Aguas (DGA),Residencial,2
Dirección General de Aguas (DGA),Transmisión,4
Dirección General de Aguas (DGA),Vialidad,2
Dirección General de Aeronáutica Civil (DGAC),Acuícola,0
Dirección General de Aeronáutica Civil (DGAC),Agroindustria,1
Dirección General de Aeronáutica Civil (DGAC),Aguas servidas,0
Dirección General de Aeronáutica Civil (DGAC),Celulosa,1
Dirección General de Aeronáutica Civil (DGAC),ERNC,5
Dirección General de Aeronáutica Civil (DGAC),Gran Minería,4
Dirección General de Aeronáutica Civil (DGAC),Hidro,5
Dirección General de Aeronáutica Civil (DGAC),Hospitales,4
Dirección General de Aeronáutica Civil (DGAC),Metro,0
Dirección General de Aeronáutica Civil (DGAC),Planta Desaladora,0
Dirección General de Aeronáutica Civil (DGAC),Químicos,0
Dirección General de Aeronáutica Civil (DGAC),Residencial,2
Dirección General de Aeronáutica Civil (DGAC),Transmisión,6
Dirección General de Aeronáutica Civil (DGAC),Vialidad,1
Dirección General de Movilización Nacional (DGMN),Acuícola,0
Dirección General de Movilización Nacional (DGMN),Agroindustria,0
Dirección General de Movilización Nacional (DGMN),Aguas servidas,9
Dirección General de Movilización Nacional (DGMN),Celulosa,9
Dirección General de Movilización Nacional (DGMN),ERNC,8
Dirección General de Movilización Nacional (DGMN),Gran Minería,9
Dirección General de Movilización Nacional (DGMN),Hidro,8
Dirección General de Movilización Nacional (DGMN),Hospitales,0
Dirección General de Movilización Nacional (DGMN),Metro,0
Dirección General de Movilización Nacional (DGMN),Planta Desaladora,9
Dirección General de Movilización Nacional (DGMN),Químicos,12
Dirección General de Movilización Nacional (DGMN),Residencial,0
Dirección General de Movilización Nacional (DGMN),Transmisión,8
Dirección General de Movilización Nacional (DGMN),Vialidad,8
Dirección Nacional de Fronteras y Límites del Estado de Chile (DIFROL),Acuícola,0
Dirección Nacional de Fronteras y Límites del Estado de Chile (DIFROL),Agroindustria,0
Dirección Nacional de Fronteras y Límites del Estado de Chile (DIFROL),Aguas servidas,0
Dirección Nacional de Fronteras y Límites del Estado de Chile (DIFROL),Celulosa,0
Dirección Nacional de Fronteras y Límites del Estado de Chile (DIFROL),ERNC,0
Dirección Nacional de Fronteras y Límites del Estado de Chile (DIFROL),Gran Minería,2
Dirección Nacional de Fronteras y Límites del Estado de Chile (DIFROL),Hidro,1
Dirección Nacional de Fronteras y Límites del Estado de Chile (DIFROL),Hospitales,0
Dirección Nacional de Fronteras y Límites del Estado de Chile (DIFROL),Metro,0
Dirección Nacional de Fronteras y Límites del Estado de Chile (DIFROL),Planta Desaladora,0
Dirección Nacional de Fronteras y Límites del Estado de Chile (DIFROL),Químicos,0
Dirección Nacional de Fronteras y Límites del Estado de Chile (DIFROL),Residencial,0
Dirección Nacional de Fronteras y Límites del Estado de Chile (DIFROL),Transmisión,1
Dirección Nacional de Fronteras y Límites del Estado de Chile (DIFROL),Vialidad,0
Dirección de Presupuestos de Chile (DIPRES),Acuícola,0
Dirección de Presupuestos de Chile (DIPRES),Agroindustria,0
Dirección de Presupuestos de Chile (DIPRES),Aguas servidas,0
Dirección de Presupuestos de Chile (DIPRES),Celulosa,0
Dirección de Presupuestos de Chile (DIPRES),ERNC,0
Dirección de Presupuestos de Chile (DIPRES),Gran Minería,0
Dirección de Presupuestos de Chile (DIPRES),Hidro,0
Dirección de Presupuestos de Chile (DIPRES),Hospitales,0
Dirección de Presupuestos de Chile (DIPRES),Metro,1
Dirección de Presupuestos de Chile (DIPRES),Planta Desaladora,0
Dirección de Presupuestos de Chile (DIPRES),Químicos,0
Dirección de Presupuestos de Chile (DIPRES),Residencial,0
Dirección de Presupuestos de Chile (DIPRES),Transmisión,0
Dirección de Presupuestos de Chile (DIPRES),Vialidad,1
Dirección de Vialidad,Acuícola,7
Dirección de Vialidad,Agroindustria,6
Dirección de Vialidad,Aguas servidas,10
Dirección de Vialidad,Celulosa,5
Dirección de Vialidad,ERNC,9
Dirección de Vialidad,Gran Minería,10
Dirección de Vialidad,Hidro,9
Dirección de Vialidad,Hospitales,6
Dirección de Vialidad,Metro,8
Dirección de Vialidad,Planta Desaladora,10
Dirección de Vialidad,Químicos,10
Dirección de Vialidad,Residencial,5
Dirección de Vialidad,Transmisión,8
Dirección de Vialidad,Vialidad,11
Dirección del Trabajo (DT),Acuícola,2
Dirección del Trabajo (DT),Agroindustria,2
Dirección del Trabajo (DT),Aguas servidas,2
Dirección del Trabajo (DT),Celulosa,2
Dirección del Trabajo (DT),ERNC,2
Dirección del Trabajo (DT),Gran Minería,2
Dirección del Trabajo (DT),Hidro,2
Dirección del Trabajo (DT),Hospitales,2
Dirección del Trabajo (DT),Metro,2
Dirección del Trabajo (DT),Planta Desaladora,2
Dirección del Trabajo (DT),Químicos,3
Dirección del Trabajo (DT),Residencial,2
Dirección del Trabajo (DT),Transmisión,2
Dirección del Trabajo (DT),Vialidad,2
Dirección General del Territorio Marítimo y de Marina Mercante (DIRECTEMAR),Acuícola,2
Dirección General del Territorio Marítimo y de Marina Mercante (DIRECTEMAR),Agroindustria,1
Dirección General del Territorio Marítimo y de Marina Mercante (DIRECTEMAR),Aguas servidas,2
Dirección General del Territorio Marítimo y de Marina Mercante (DIRECTEMAR),Celulosa,2
Dirección General del Territorio Marítimo y de Marina Mercante (DIRECTEMAR),ERNC,0
Dirección General del Territorio Marítimo y de Marina Mercante (DIRECTEMAR),Gran Minería,3
Dirección General del Territorio Marítimo y de Marina Mercante (DIRECTEMAR),Hidro,0
Dirección General del Territorio Marítimo y de Marina Mercante (DIRECTEMAR),Hospitales,0
Dirección General del Territorio Marítimo y de Marina Mercante (DIRECTEMAR),Metro,0
Dirección General del Territorio Marítimo y de Marina Mercante (DIRECTEMAR),Planta Desaladora,2
Dirección General del Territorio Marítimo y de Marina Mercante (DIRECTEMAR),Químicos,0
Dirección General del Territorio Marítimo y de Marina Mercante (DIRECTEMAR),Residencial,0
Dirección General del Territorio Marítimo y de Marina Mercante (DIRECTEMAR),Transmisión,0
Dirección General del Territorio Marítimo y de Marina Mercante (DIRECTEMAR),Vialidad,0
Dirección de Obras Hidráulicas (DOH),Acuícola,0
Dirección de Obras Hidráulicas (DOH),Agroindustria,0
Dirección de Obras Hidráulicas (DOH),Aguas servidas,0
Dirección de Obras Hidráulicas (DOH),Celulosa,0
Dirección de Obras Hidráulicas (DOH),ERNC,0
Dirección de Obras Hidráulicas (DOH),Gran Minería,0
Dirección de Obras Hidráulicas (DOH),Hidro,0
Dirección de Obras Hidráulicas (DOH),Hospitales,1
Dirección de Obras Hidráulicas (DOH),Metro,1
Dirección de Obras Hidráulicas (DOH),Planta Desaladora,0
Dirección de Obras Hidráulicas (DOH),Químicos,1
Dirección de Obras Hidráulicas (DOH),Residencial,1
Dirección de Obras Hidráulicas (DOH),Transmisión,0
Dirección de Obras Hidráulicas (DOH),Vialidad,1
Direcciones de Obras Municipales (DOM),Agroindustria,13
Direcciones de Obras Municipales (DOM),Aguas servidas,14
Direcciones de Obras Municipales (DOM),Celulosa,12
Direcciones de Obras Municipales (DOM),ERNC,13
Direcciones de Obras Municipales (DOM),Gran Minería,12
Direcciones de Obras Municipales (DOM),Hidro,12
Direcciones de Obras Municipales (DOM),Hospitales,19
Direcciones de Obras Municipales (DOM),Metro,6
Direcciones de Obras Municipales (DOM),Planta Desaladora,14
Direcciones de Obras Municipales (DOM),Químicos,14
Direcciones de Obras Municipales (DOM),Residencial,22
Direcciones de Obras Municipales (DOM),Transmisión,12
Direcciones de Obras Municipales (DOM),Vialidad,11
Empresa de los Ferrocarriles del Estado (EFE),Acuícola,0
Empresa de los Ferrocarriles del Estado (EFE),Agroindustria,0
Empresa de los Ferrocarriles del Estado (EFE),Aguas servidas,0
Empresa de los Ferrocarriles del Estado (EFE),Celulosa,2
Empresa de los Ferrocarriles del Estado (EFE),ERNC,1
Empresa de los Ferrocarriles del Estado (EFE),Gran Minería,1
Empresa de los Ferrocarriles del Estado (EFE),Hidro,1
Empresa de los Ferrocarriles del Estado (EFE),Hospitales,0
Empresa de los Ferrocarriles del Estado (EFE),Metro,0
Empresa de los Ferrocarriles del Estado (EFE),Planta Desaladora,0
Empresa de los Ferrocarriles del Estado (EFE),Químicos,0
Empresa de los Ferrocarriles del Estado (EFE),Residencial,0
Empresa de los Ferrocarriles del Estado (EFE),Transmisión,1
Empresa de los Ferrocarriles del Estado (EFE),Vialidad,1
Empresas de Servicios,Acuícola,3
Empresas de Servicios,Agroindustria,3
Empresas de Servicios,Aguas servidas,3
Empresas de Servicios,Celulosa,3
Empresas de Servicios,ERNC,0
Empresas de Servicios,Gran Minería,0
Empresas de Servicios,Hidro,0
Empresas de Servicios,Hospitales,5
Empresas de Servicios,Metro,4
Empresas de Servicios,Planta Desaladora,3
Empresas de Servicios,Químicos,3
Empresas de Servicios,Residencial,5
Empresas de Servicios,Transmisión,0
Empresas de Servicios,Vialidad,1
Gobernación Provincial,Acuícola,0
Gobernación Provincial,Agroindustria,0
Gobernación Provincial,Aguas servidas,0
Gobernación Provincial,Celulosa,0
Gobernación Provincial,ERNC,0
Gobernación Provincial,Gran Minería,1
Gobernación Provincial,Hidro,0
Gobernación Provincial,Hospitales,0
Gobernación Provincial,Metro,0
Gobernación Provincial,Planta Desaladora,0
Gobernación Provincial,Químicos,0
Gobernación Provincial,Residencial,0
Gobernación Provincial,Transmisión,0
Gobernación Provincial,Vialidad,0
Ministerio de Defensa,Acuícola,1
Ministerio de Defensa,Agroindustria,0
Ministerio de Defensa,Aguas servidas,0
Ministerio de Defensa,Celulosa,1
Ministerio de Defensa,ERNC,0
Ministerio de Defensa,Gran Minería,2
Ministerio de Defensa,Hidro,0
Ministerio de Defensa,Hospitales,0
Ministerio de Defensa,Metro,0
Ministerio de Defensa,Planta Desaladora,1
Ministerio de Defensa,Químicos,0
Ministerio de Defensa,Residencial,0
Ministerio de Defensa,Transmisión,0
Ministerio de Defensa,Vialidad,0
Ministerio de Desarrollo Social,Acuícola,0
Ministerio de Desarrollo Social,Agroindustria,0
Ministerio de Desarrollo Social,Aguas servidas,0
Ministerio de Desarrollo Social,Celulosa,0
Ministerio de Desarrollo Social,ERNC,0
Ministerio de Desarrollo Social,Gran Minería,0
Ministerio de Desarrollo Social,Hidro,0
Ministerio de Desarrollo Social,Hospitales,0
Ministerio de Desarrollo Social,Metro,4
Ministerio de Desarrollo Social,Planta Desaladora,0
Ministerio de Desarrollo Social,Químicos,0
Ministerio de Desarrollo Social,Residencial,0
Ministerio de Desarrollo Social,Transmisión,0
Ministerio de Desarrollo Social,Vialidad,1
Ministerio de Educación (MINEDUC),Acuícola,0
Ministerio de Educación (MINEDUC),Agroindustria,0
Ministerio de Educación (MINEDUC),Aguas servidas,0
Ministerio de Educación (MINEDUC),Celulosa,0
Ministerio de Educación (MINEDUC),ERNC,0
Ministerio de Educación (MINEDUC),Gran Minería,0
Ministerio de Educación (MINEDUC),Hidro,0
Ministerio de Educación (MINEDUC),Hospitales,1
Ministerio de Educación (MINEDUC),Metro,0
Ministerio de Educación (MINEDUC),Planta Desaladora,0
Ministerio de Educación (MINEDUC),Químicos,0
Ministerio de Educación (MINEDUC),Residencial,0
Ministerio de Educación (MINEDUC),Transmisión,0
Ministerio de Educación (MINEDUC),Vialidad,0
Ministerio de Energía (MINERGIA),Acuícola,0
Ministerio de Energía (MINERGIA),Agroindustria,0
Ministerio de Energía (MINERGIA),Aguas servidas,0
Ministerio de Energía (MINERGIA),Celulosa,2
Ministerio de Energía (MINERGIA),ERNC,2
Ministerio de Energía (MINERGIA),Gran Minería,2
Ministerio de Energía (MINERGIA),Hidro,2
Ministerio de Energía (MINERGIA),Hospitales,0
Ministerio de Energía (MINERGIA),Metro,0
Ministerio de Energía (MINERGIA),Planta Desaladora,0
Ministerio de Energía (MINERGIA),Químicos,0
Ministerio de Energía (MINERGIA),Residencial,0
Ministerio de Energía (MINERGIA),Transmisión,4
Ministerio de Energía (MINERGIA),Vialidad,0
Ministerio de Minería (MINMINERIA),Acuícola,0
Ministerio de Minería (MINMINERIA),Agroindustria,0
Ministerio de Minería (MINMINERIA),Aguas servidas,0
Ministerio de Minería (MINMINERIA),Celulosa,0
Ministerio de Minería (MINMINERIA),ERNC,0
Ministerio de Minería (MINMINERIA),Gran Minería,2
Ministerio de Minería (MINMINERIA),Hidro,0
Ministerio de Minería (MINMINERIA),Hospitales,0
Ministerio de Minería (MINMINERIA),Metro,0
Ministerio de Minería (MINMINERIA),Planta Desaladora,0
Ministerio de Minería (MINMINERIA),Químicos,0
Ministerio de Minería (MINMINERIA),Residencial,0
Ministerio de Minería (MINMINERIA),Transmisión,0
Ministerio de Minería (MINMINERIA),Vialidad,0
Ministerio de Obras Públicas (MOP),Acuícola,0
Ministerio de Obras Públicas (MOP),Agroindustria,0
Ministerio de Obras Públicas (MOP),Aguas servidas,0
Ministerio de Obras Públicas (MOP),Celulosa,0
Ministerio de Obras Públicas (MOP),ERNC,0
Ministerio de Obras Públicas (MOP),Gran Minería,0
Ministerio de Obras Públicas (MOP),Hidro,0
Ministerio de Obras Públicas (MOP),Hospitales,0
Ministerio de Obras Públicas (MOP),Metro,1
Ministerio de Obras Públicas (MOP),Planta Desaladora,0
Ministerio de Obras Públicas (MOP),Químicos,0
Ministerio de Obras Públicas (MOP),Residencial,0
Ministerio de Obras Públicas (MOP),Transmisión,0
Ministerio de Obras Públicas (MOP),Vialidad,9
Seremi y Ministerio de Vivienda y Urbanismo (MINVU),Acuícola,0
Seremi y Ministerio de Vivienda y Urbanismo (MINVU),Agroindustria,1
Seremi y Ministerio de Vivienda y Urbanismo (MINVU),Aguas servidas,1
Seremi y Ministerio de Vivienda y Urbanismo (MINVU),Celulosa,0
Seremi y Ministerio de Vivienda y Urbanismo (MINVU),ERNC,0
Seremi y Ministerio de Vivienda y Urbanismo (MINVU),Gran Minería,0
Seremi y Ministerio de Vivienda y Urbanismo (MINVU),Hidro,0
Seremi y Ministerio de Vivienda y Urbanismo (MINVU),Hospitales,2
Seremi y Ministerio de Vivienda y Urbanismo (MINVU),Metro,2
Seremi y Ministerio de Vivienda y Urbanismo (MINVU),Planta Desaladora,1
Seremi y Ministerio de Vivienda y Urbanismo (MINVU),Químicos,2
Seremi y Ministerio de Vivienda y Urbanismo (MINVU),Residencial,2
Seremi y Ministerio de Vivienda y Urbanismo (MINVU),Transmisión,1
Seremi y Ministerio de Vivienda y Urbanismo (MINVU),Vialidad,1
MunicipalidadesAcuícola,4
Municipalidades,Agroindustria,3
Municipalidades,Aguas servidas,4
Municipalidades,Celulosa,3
Municipalidades,ERNC,4
Municipalidades,Gran Minería,3
Municipalidades,Hidro,4
Municipalidades,Hospitales,6
Municipalidades,Metro,5
Municipalidades,Planta Desaladora,3
Municipalidades,Químicos,4
Municipalidades,Residencial,8
Municipalidades,Transmisión,4
Municipalidades,Vialidad,3
Oficina Nacional de Emergencia del Ministerio del Interior (ONEMI),Acuícola,0
Oficina Nacional de Emergencia del Ministerio del Interior (ONEMI),Agroindustria,0
Oficina Nacional de Emergencia del Ministerio del Interior (ONEMI),Aguas servidas,0
Oficina Nacional de Emergencia del Ministerio del Interior (ONEMI),Celulosa,0
Oficina Nacional de Emergencia del Ministerio del Interior (ONEMI),ERNC,0
Oficina Nacional de Emergencia del Ministerio del Interior (ONEMI),Gran Minería,0
Oficina Nacional de Emergencia del Ministerio del Interior (ONEMI),Hidro,0
Oficina Nacional de Emergencia del Ministerio del Interior (ONEMI),Hospitales,1
Oficina Nacional de Emergencia del Ministerio del Interior (ONEMI),Metro,0
Oficina Nacional de Emergencia del Ministerio del Interior (ONEMI),Planta Desaladora,0
Oficina Nacional de Emergencia del Ministerio del Interior (ONEMI),Químicos,0
Oficina Nacional de Emergencia del Ministerio del Interior (ONEMI),Residencial,0
Oficina Nacional de Emergencia del Ministerio del Interior (ONEMI),Transmisión,0
Oficina Nacional de Emergencia del Ministerio del Interior (ONEMI),Vialidad,0
Organizaciones de Certificación,Acuícola,0
Organizaciones de Certificación,Agroindustria,0
Organizaciones de Certificación,Aguas servidas,0
Organizaciones de Certificación,Celulosa,0
Organizaciones de Certificación,ERNC,0
Organizaciones de Certificación,Gran Minería,0
Organizaciones de Certificación,Hidro,0
Organizaciones de Certificación,Hospitales,4
Organizaciones de Certificación,Metro,0
Organizaciones de Certificación,Planta Desaladora,0
Organizaciones de Certificación,Químicos,0
Organizaciones de Certificación,Residencial,0
Organizaciones de Certificación,Transmisión,0
Organizaciones de Certificación,Vialidad,0
Poder Judicial,Acuícola,0
Poder Judicial,Agroindustria,0
Poder Judicial,Aguas servidas,0
Poder Judicial,Celulosa,1
Poder Judicial,ERNC,1
Poder Judicial,Gran Minería,2
Poder Judicial,Hidro,1
Poder Judicial,Hospitales,0
Poder Judicial,Metro,2
Poder Judicial,Planta Desaladora,0
Poder Judicial,Químicos,0
Poder Judicial,Residencial,0
Poder Judicial,Transmisión,1
Poder Judicial,Vialidad,0
Servicio Agrícola y Ganadero (SAG),Acuícola,10
Servicio Agrícola y Ganadero (SAG),Agroindustria,7
Servicio Agrícola y Ganadero (SAG),Aguas servidas,9
Servicio Agrícola y Ganadero (SAG),Celulosa,9
Servicio Agrícola y Ganadero (SAG),ERNC,9
Servicio Agrícola y Ganadero (SAG),Gran Minería,9
Servicio Agrícola y Ganadero (SAG),Hidro,9
Servicio Agrícola y Ganadero (SAG),Hospitales,9
Servicio Agrícola y Ganadero (SAG),Metro,7
Servicio Agrícola y Ganadero (SAG),Planta Desaladora,8
Servicio Agrícola y Ganadero (SAG),Químicos,14
Servicio Agrícola y Ganadero (SAG),Residencial,8
Servicio Agrícola y Ganadero (SAG),Transmisión,9
Servicio Agrícola y Ganadero (SAG),Vialidad,9
Servicio de Evaluación Ambiental (SEA),Acuícola,2
Servicio de Evaluación Ambiental (SEA),Agroindustria,2
Servicio de Evaluación Ambiental (SEA),Aguas servidas,2
Servicio de Evaluación Ambiental (SEA),Celulosa,2
Servicio de Evaluación Ambiental (SEA),ERNC,2
Servicio de Evaluación Ambiental (SEA),Gran Minería,2
Servicio de Evaluación Ambiental (SEA),Hidro,2
Servicio de Evaluación Ambiental (SEA),Hospitales,2
Servicio de Evaluación Ambiental (SEA),Metro,2
Servicio de Evaluación Ambiental (SEA),Planta Desaladora,2
Servicio de Evaluación Ambiental (SEA),Químicos,2
Servicio de Evaluación Ambiental (SEA),Residencial,2
Servicio de Evaluación Ambiental (SEA),Transmisión,2
Servicio de Evaluación Ambiental (SEA),Vialidad,2
Superintendencia de Electricidad y Combustibles (SEC),Acuícola,10
Superintendencia de Electricidad y Combustibles (SEC),Agroindustria,9
Superintendencia de Electricidad y Combustibles (SEC),Aguas servidas,11
Superintendencia de Electricidad y Combustibles (SEC),Celulosa,11
Superintendencia de Electricidad y Combustibles (SEC),ERNC,14
Superintendencia de Electricidad y Combustibles (SEC),Gran Minería,8
Superintendencia de Electricidad y Combustibles (SEC),Hidro,12
Superintendencia de Electricidad y Combustibles (SEC),Hospitales,9
Superintendencia de Electricidad y Combustibles (SEC),Metro,6
Superintendencia de Electricidad y Combustibles (SEC),Planta Desaladora,11
Superintendencia de Electricidad y Combustibles (SEC),Químicos,11
Superintendencia de Electricidad y Combustibles (SEC),Residencial,7
Superintendencia de Electricidad y Combustibles (SEC),Transmisión,10
Superintendencia de Electricidad y Combustibles (SEC),Vialidad,5
Seremi de Salud,Acuícola,38
Seremi de Salud,Agroindustria,38
Seremi de Salud,Aguas servidas,31
Seremi de Salud,Celulosa,46
Seremi de Salud,ERNC,40
Seremi de Salud,Gran Minería,45
Seremi de Salud,Hidro,36
Seremi de Salud,Hospitales,57
Seremi de Salud,Metro,34
Seremi de Salud,Planta Desaladora,37
Seremi de Salud,Químicos,52
Seremi de Salud,Residencial,30
Seremi de Salud,Transmisión,34
Seremi de Salud,Vialidad,28
Seremi y Ministerio del Medio Ambiente (MMA),Acuícola,3
Seremi y Ministerio del Medio Ambiente (MMA),Agroindustria,2
Seremi y Ministerio del Medio Ambiente (MMA),Aguas servidas,3
